common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,weather_temp_c,weather_conditions,weather_summary,readable_filename
Eurasian Curlew,Numenius arquata,975.0,978.0,0.5125739574432373,Numenius arquata_Eurasian Curlew,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:54:08,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Carrion Crow,Corvus corone,2055.0,2058.0,0.3986753523349762,Corvus corone_Carrion Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:12:08,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Mallard,Anas platyrhynchos,2403.0,2406.0,0.3315362632274627,Anas platyrhynchos_Mallard,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:17:56,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Tawny Owl,Strix aluco,2469.0,2472.0,0.2915845513343811,Strix aluco_Tawny Owl,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:19:02,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Hooded Crow,Corvus cornix,2949.0,2952.0,0.4884414076805115,Corvus cornix_Hooded Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:02,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Carrion Crow,Corvus corone,2949.0,2952.0,0.3081757426261902,Corvus corone_Carrion Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:02,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Carrion Crow,Corvus corone,2952.0,2955.0,0.3331637680530548,Corvus corone_Carrion Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:05,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Hooded Crow,Corvus cornix,2961.0,2964.0,0.396227091550827,Corvus cornix_Hooded Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:14,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Hooded Crow,Corvus cornix,2964.0,2967.0,0.3990614414215088,Corvus cornix_Hooded Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:17,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Carrion Crow,Corvus corone,2964.0,2967.0,0.3150724172592163,Corvus corone_Carrion Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:17,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Carrion Crow,Corvus corone,2976.0,2979.0,0.3339511752128601,Corvus corone_Carrion Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:29,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Hooded Crow,Corvus cornix,2985.0,2988.0,0.6602064371109009,Corvus cornix_Hooded Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:38,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Hooded Crow,Corvus cornix,2988.0,2991.0,0.4430820345878601,Corvus cornix_Hooded Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:41,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
Carrion Crow,Corvus corone,2988.0,2991.0,0.3241837620735168,Corvus corone_Carrion Crow,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 12:27:41,7-11,"Light rain, drizzle, fog","Damp, foggy, low visibility",2025-10-13_Morning_LightRain_7-11C
